,ad title,link,year of construction,fuel,transmission,vehicle type,mileage (km)
67,Opel Corsa 1.4-16V Enjoy airco cruise 2007 grijs,marktplaats.nl/v/auto-s/opel/m2065146250-opel-corsa-1-4-16v-enjoy-airco-cruise-2007-grijs,2007.0,Benzine ,Handgeschakeld ,Hatchback ,193138.0
68,Opel Vivaro Bestelbus L2 H1 2018 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1495080633-opel-vivaro-bestelbus-l2-h1-2018-diesel-handgeschakeld,2018.0,Diesel ,Handgeschakeld ,,87181.0
69,Opel Vivaro Bestelbus L2 H1 2018 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1488642164-opel-vivaro-bestelbus-l2-h1-2018-diesel-handgeschakeld,2018.0,Diesel ,Handgeschakeld ,,147717.0
70,Opel Combo Bestelbus L2 H1 2019 Diesel Automaat,marktplaats.nl/v/auto-s/opel/a1495711107-opel-combo-bestelbus-l2-h1-2019-diesel-automaat,2019.0,Diesel ,Automaat ,,177153.0
71,Opel Movano Bestelbus L2 H2 2020 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1482365930-opel-movano-bestelbus-l2-h2-2020-diesel-handgeschakeld,2020.0,Diesel ,Handgeschakeld ,,96110.0
72,Opel Insignia 1.6 CDTI OPC Line | Leder | Carplay | Matrix L,marktplaats.nl/v/auto-s/opel/m2057308456-opel-insignia-1-6-cdti-opc-line-leder-carplay-matrix-l,2018.0,Diesel ,Handgeschakeld ,Stationwagon ,135606.0
73,Opel Corsa 1.4-16V Cosmo airco LM cruise 2010 zwart,marktplaats.nl/v/auto-s/opel/m2065076258-opel-corsa-1-4-16v-cosmo-airco-lm-cruise-2010-zwart,2010.0,Benzine ,Handgeschakeld ,Hatchback ,111563.0
74,Opel Astra J 2010 met LPG - 1.4 turbo | veel opties!,marktplaats.nl/v/auto-s/opel/m2065019010-opel-astra-j-2010-met-lpg-1-4-turbo-veel-opties,2010.0,LPG ,Handgeschakeld ,Hatchback ,189999.0
75,Opel Vivaro Bestelbus L2 H1 2018 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1488390578-opel-vivaro-bestelbus-l2-h1-2018-diesel-handgeschakeld,2018.0,Diesel ,Handgeschakeld ,,169184.0
76,Opel Ampera-e 60-kWh 204pk 2020 Wit,marktplaats.nl/v/auto-s/opel/m2055367820-opel-ampera-e-60-kwh-204pk-2020-wit,2020.0,Elektrisch ,Automaat ,MPV ,89700.0
